"","pvalue","log2FoldChange","padj","Regulation"
"ENSG00000144550",0.000274026068838735,4.52564982415107,0.00236111382879597,"Up"
"ENSG00000102195",5.42660595086633e-06,4.51589958026419,8.48497993994004e-05,"Up"
"ENSG00000277893",3.74406702763965e-05,4.50816384787827,0.00044363942606414,"Up"
"ENSG00000108771",5.25697651953469e-10,4.50683986386529,2.23337315623506e-08,"Up"
"ENSG00000184292",0.000582562793519807,4.49081840434403,0.00442970358537545,"Up"
"ENSG00000287901",3.06094375749133e-08,4.47635860470191,8.8800842228266e-07,"Up"
"ENSG00000167711",0.000101423160878172,4.46961863549666,0.00103905315162842,"Up"
"ENSG00000185507",1.54187150523246e-19,4.45815218770385,3.17359690163192e-17,"Up"
"ENSG00000183379",6.14300092823234e-10,4.45766091110132,2.5776852401138e-08,"Up"
"ENSG00000153234",5.27192472403925e-47,4.45352658960179,1.57340593388951e-43,"Up"
"ENSG00000130513",8.68749579951605e-26,4.44526717197512,3.63899385454816e-23,"Up"
"ENSG00000286034",9.99335115463658e-05,4.39897662587108,0.00102837779611101,"Up"
"ENSG00000284686",5.79099532792156e-08,4.39527561901939,1.57120232328926e-06,"Up"
"ENSG00000173432",3.22750965771812e-09,4.39452040671187,1.17469543578777e-07,"Up"
"ENSG00000271503",8.96612685790961e-08,4.39127967183732,2.32437833723616e-06,"Up"
"ENSG00000125780",7.03425673430326e-08,4.3865073482102,1.87444100210072e-06,"Up"
"ENSG00000204361",1.37180820189209e-16,4.36967874485678,1.91539722972956e-14,"Up"
"ENSG00000266086",2.37440886657301e-19,4.36255040007194,4.72428217485811e-17,"Up"
"ENSG00000237927",5.1108749357828e-05,4.35767967233976,0.000581263627065511,"Up"
"ENSG00000157111",2.00772310311626e-07,4.33128455105469,4.74831010775401e-06,"Up"
"ENSG00000129226",6.562112070442e-12,4.32991840318161,4.06953215049021e-10,"Up"
"ENSG00000135318",9.17191727571646e-35,4.31739682221214,9.12452903645859e-32,"Up"
"ENSG00000285671",1.24535701585175e-07,4.31322456770836,3.08765774771302e-06,"Up"
"ENSG00000171557",2.02884750306818e-06,4.2853020191546,3.59995339755619e-05,"Up"
"ENSG00000177414",8.8189260101106e-05,4.2447340895757,0.00092953051225196,"Up"
"ENSG00000172183",3.87498902660912e-16,4.23058686949812,5.08347461534722e-14,"Up"
"ENSG00000010818",1.51696709299862e-12,4.2285095066254,1.077949592632e-10,"Up"
"ENSG00000105509",5.60532320203219e-22,4.22653520032908,1.57793888793499e-19,"Up"
"ENSG00000215692",0.000752958901399088,4.20771511892795,0.00546101054975839,"Up"
"ENSG00000124664",0.000156433229131415,4.19215559705188,0.00148568010292031,"Up"
"ENSG00000128242",6.4137228235165e-14,4.15072836089503,5.71395694530895e-12,"Up"
"ENSG00000123358",9.51071402184789e-36,4.12335419945667,1.08132289516972e-32,"Up"
"ENSG00000015520",5.47014675088037e-15,4.11247187256192,5.83059034928659e-13,"Up"
"ENSG00000140488",1.44369345887273e-07,4.11199194856503,3.53534615631234e-06,"Up"
"ENSG00000255931",7.6210713198877e-08,4.09602936326758,2.01061545672529e-06,"Up"
"ENSG00000288022",1.6717598557301e-20,4.08109592090215,3.83797483802038e-18,"Up"
"ENSG00000147443",1.44053796221062e-05,4.07158110484498,0.000197781968865674,"Up"
"ENSG00000105507",1.93856216053248e-09,4.06709658127348,7.34684288013865e-08,"Up"
"ENSG00000137965",2.14673907706188e-12,4.0658832049371,1.45612335806618e-10,"Up"
"ENSG00000166589",3.79530028659017e-13,4.04082350901464,2.8859572322212e-11,"Up"
"ENSG00000173110",3.31060464699631e-16,4.03676616500329,4.39133314176022e-14,"Up"
"ENSG00000119922",4.13640719856999e-11,4.02890592264514,2.16580829546178e-09,"Up"
"ENSG00000223485",1.67978778783558e-08,4.01406157951769,5.16172628344432e-07,"Up"
"ENSG00000213085",1.99489063986271e-07,3.99087171211885,4.72519929735736e-06,"Up"
"ENSG00000158516",0.000692748826432031,3.97481641486012,0.00510969137469607,"Up"
"ENSG00000231305",3.64922262095745e-06,3.96931630094742,5.99235483479917e-05,"Up"
"ENSG00000174776",1.63212055047672e-06,3.95916360757674,2.95888460616417e-05,"Up"
"ENSG00000243149",0.00151241867878413,3.94612783673327,0.00971757491244612,"Up"
"ENSG00000101049",1.68304068048914e-08,3.9435485191098,5.16334556743065e-07,"Up"
"ENSG00000163734",1.53905178967246e-20,3.92847102249628,3.56761170196307e-18,"Up"
"ENSG00000117601",5.32028532343352e-05,3.8919953218959,0.000601169580607188,"Up"
"ENSG00000125740",1.13558997103114e-27,3.8908673037799,5.64861378090405e-25,"Up"
"ENSG00000198829",2.08938733278521e-41,3.88661508849798,4.1571843297983e-38,"Up"
"ENSG00000214788",3.1969550620529e-12,3.88656917202545,2.07985011066962e-10,"Up"
