"","PValue","logFC","FDR","Regulation"
"ENSG00000100906",2.15777892733167e-05,3.33711131204168,0.0019451543874598,"Up"
"ENSG00000011422",2.8592554116002e-05,3.33689900134435,0.00213732039427881,"Up"
"ENSG00000234290",0.00012135469215452,3.33330720370766,0.00413043831080565,"Up"
"ENSG00000130589",0.000123931223345697,3.31632759853223,0.00416800272199475,"Up"
"ENSG00000131471",6.05029421687445e-05,3.2978909657216,0.00298135020253895,"Up"
"ENSG00000125531",0.00026265811769119,3.29178349033764,0.00622367781500571,"Up"
"ENSG00000196993",4.25884138980827e-05,3.2882914769916,0.00257992015567927,"Up"
"ENSG00000163814",5.74595084063768e-05,3.28740652192895,0.00291850103082543,"Up"
"ENSG00000136099",0.000529520117001405,3.28545435834281,0.00892643411180386,"Up"
"ENSG00000107968",6.72196953105911e-07,3.28091008791897,0.000542781563740303,"Up"
"ENSG00000138061",3.01728774149987e-06,3.27476067050106,0.000914335607616941,"Up"
"ENSG00000128342",4.81221866722931e-05,3.27340073380355,0.00271738908462561,"Up"
"ENSG00000144891",0.000188729120530209,3.27201184007578,0.00523688960060141,"Up"
"ENSG00000109511",0.000127765469067719,3.25120902383369,0.00424059319313207,"Up"
"ENSG00000107201",0.000499896826768151,3.2507693433113,0.00875327829214712,"Up"
"ENSG00000239332",0.00044834856468718,3.24338906539193,0.00825223717747322,"Up"
"ENSG00000144655",3.45148593707048e-06,3.23012617907967,0.000949590068436516,"Up"
"ENSG00000168453",0.000212682918212781,3.21525882870353,0.00561510893461027,"Up"
"ENSG00000274290",0.000653225952996625,3.21498271215096,0.00995153587199825,"Up"
"ENSG00000117586",0.000147938781684628,3.20829792349001,0.00454627597407159,"Up"
"ENSG00000132326",1.50555106237867e-06,3.19922034000655,0.000683812941256888,"Up"
"ENSG00000285446",0.000367673269804939,3.18964264099173,0.00737167611849181,"Up"
"ENSG00000144802",5.19465194268209e-06,3.1864436059819,0.00108357374261223,"Up"
"ENSG00000112149",1.23473213652217e-06,3.18415448729608,0.00064977773843464,"Up"
"ENSG00000173805",0.000646793926435757,3.17224315409686,0.00991342455511181,"Up"
"ENSG00000178685",9.48729861494737e-05,3.15218847490826,0.00364920190802898,"Up"
"ENSG00000157542",0.000145942345338714,3.14982154245612,0.00451009659721464,"Up"
"ENSG00000271425",2.51723560569601e-05,3.14657033503789,0.00198661036307698,"Up"
"ENSG00000182752",2.92484660610367e-06,3.12593442038847,0.000914335607616941,"Up"
"ENSG00000123612",0.000347857038992258,3.12539310641698,0.00711849182375789,"Up"
"ENSG00000116711",3.11468865505488e-06,3.12484145589815,0.000920878620417642,"Up"
"ENSG00000148339",5.47439285915419e-05,3.12212372868574,0.0028607382263133,"Up"
"ENSG00000007908",0.000515144905660092,3.10632077697129,0.00883881814884557,"Up"
"ENSG00000145555",4.01957405930506e-05,3.10127620363306,0.00252132605667834,"Up"
"ENSG00000087589",0.000170275660570028,3.10085511233172,0.00491689586039605,"Up"
"ENSG00000131459",1.61137879910778e-05,3.08254337279261,0.00177402159110602,"Up"
"ENSG00000077150",6.8501888502739e-07,3.07530019722535,0.000542781563740303,"Up"
"ENSG00000162069",0.000611250461481855,3.07263579185485,0.00965282125674555,"Up"
"ENSG00000141384",4.78481489239295e-06,3.07149358141226,0.00105265100601606,"Up"
"ENSG00000258017",0.000308455440790612,3.06859621707871,0.00681181028608833,"Up"
"ENSG00000101347",0.000118541400873354,3.0672154381596,0.00409152818532287,"Up"
"ENSG00000268093",0.000595383054515966,3.06636824110775,0.00953576210548614,"Up"
"ENSG00000184497",0.000107016648053291,3.05604356159581,0.00389686173030816,"Up"
"ENSG00000138271",0.000197365751738306,3.04635930757872,0.0053851490030084,"Up"
"ENSG00000111252",6.51009387943152e-05,3.04291930516539,0.0031074325218713,"Up"
"ENSG00000228308",0.000240143541995726,3.04199383861906,0.00593883074081564,"Up"
"ENSG00000145623",0.000344866351181726,3.02393345084299,0.00709393307430821,"Up"
"ENSG00000203814",0.000115763081968491,3.02158258062714,0.00408033966319187,"Up"
"ENSG00000198156",1.00362530825173e-05,3.01947794282444,0.00141517377615699,"Up"
"ENSG00000183160",0.0001255731430305,3.00850305648985,0.00420182160522159,"Up"
"ENSG00000144136",2.94654285363506e-05,3.00750741362199,0.00216981663151141,"Up"
"ENSG00000114268",3.50965876002441e-05,3.00611268050461,0.00233298088514509,"Up"
"ENSG00000105219",0.000287864607290409,2.99953597002502,0.00650206386067926,"Up"
"ENSG00000136244",6.13971204001565e-05,2.99653076914034,0.00301603549377534,"Up"
"ENSG00000136869",0.000284747080924428,2.99508243908152,0.00645611038392898,"Up"
"ENSG00000122877",3.99982374505509e-05,2.99241092864057,0.00252132605667834,"Up"
"ENSG00000104856",1.8173553128161e-05,2.97186351378017,0.00182741073053676,"Up"
"ENSG00000128284",0.000559097740113081,2.96943024961221,0.00921881506655617,"Up"
"ENSG00000105825",7.31516908480134e-05,2.96738521313012,0.00327744667558936,"Up"
"ENSG00000132003",0.000116740508209623,2.96525978526795,0.00409152818532287,"Up"
"ENSG00000187688",0.000209866806526865,2.96283085407732,0.00559160435357253,"Up"
"ENSG00000131979",0.000274228036055124,2.9470102160743,0.00633860346116215,"Up"
"ENSG00000171860",0.000232740278847214,2.93173258655776,0.0058505626401044,"Up"
"ENSG00000151151",7.50265613750731e-05,2.92295224664341,0.00330399224926478,"Up"
"ENSG00000139874",0.000427725650165619,2.92032363918411,0.00803950822403849,"Up"
"ENSG00000006016",0.000478780723617687,2.9104363699228,0.00853853370316815,"Up"
"ENSG00000249992",6.77199349067965e-05,2.90764090126103,0.00318272234607343,"Up"
"ENSG00000188522",0.000295869317182918,2.90609129973223,0.00661498341317881,"Up"
"ENSG00000170345",2.93251815971404e-06,2.90255442399067,0.000914335607616941,"Up"
"ENSG00000087074",2.27077737434819e-06,2.88646047327275,0.000803246946579701,"Up"
"ENSG00000095303",0.000426750449720436,2.88466476894532,0.00803950822403849,"Up"
"ENSG00000135362",0.000427716551159278,2.87406542568335,0.00803950822403849,"Up"
"ENSG00000206190",3.66412126844147e-05,2.86167207814409,0.00238758480942622,"Up"
"ENSG00000105642",0.000411374863374439,2.85827289238677,0.00788860084083666,"Up"
"ENSG00000113083",5.7417426026243e-05,2.85654760719667,0.00291850103082543,"Up"
"ENSG00000148483",0.000509443796386166,2.85216365544589,0.00879823205110162,"Up"
"ENSG00000111886",0.0004488598730448,2.84894086072926,0.00825223717747322,"Up"
"ENSG00000090339",1.19433189281444e-05,2.84666028077558,0.00154630852710858,"Up"
"ENSG00000198743",3.33044042472575e-05,2.83198506187697,0.00226346531549499,"Up"
"ENSG00000162772",1.34900919641044e-06,2.82707503785501,0.000668063079292362,"Up"
"ENSG00000214944",0.000326231494923092,2.82573507470207,0.00694755215397455,"Up"
"ENSG00000113369",4.51789304584265e-05,2.82123711710025,0.00266529218353312,"Up"
"ENSG00000079335",0.000157904612735836,2.80707397492934,0.0046755343403351,"Up"
"ENSG00000175592",4.58966800146746e-06,2.80268441962607,0.00105265100601606,"Up"
"ENSG00000197632",0.000254968426901855,2.79300105034338,0.00613690105528413,"Up"
"ENSG00000164484",2.06339995225228e-06,2.78856416851195,0.000756923882484546,"Up"
"ENSG00000141738",0.000360541349471394,2.77637123374059,0.00728028908428017,"Up"
"ENSG00000152952",8.90735976427254e-05,2.77214790964291,0.00358240542751612,"Up"
"ENSG00000026559",1.87975434385488e-05,2.7705179581892,0.00184867121354763,"Up"
"ENSG00000178882",8.60195567921397e-06,2.76935410325775,0.0013058520342693,"Up"
"ENSG00000119514",1.0840094669867e-05,2.76827856139817,0.00145088807645538,"Up"
"ENSG00000179094",4.79916142945517e-06,2.76163473027568,0.00105265100601606,"Up"
"ENSG00000161896",2.94164629877328e-05,2.75810857669624,0.00216981663151141,"Up"
"ENSG00000273802",4.01135610122882e-05,2.75693062820518,0.00252132605667834,"Up"
"ENSG00000176170",3.35779751380668e-06,2.74182886749731,0.000936825506352062,"Up"
"ENSG00000245025",0.000195154727185386,2.73745802358908,0.00535432131691873,"Up"
"ENSG00000163660",1.95451695967486e-06,2.73603983981933,0.000730509933098101,"Up"
"ENSG00000161638",0.000262409183202711,2.73502822644021,0.00622367781500571,"Up"
"ENSG00000085465",0.000113317876494436,2.7275016356929,0.00403000685005079,"Up"
"ENSG00000123095",2.70083778143665e-06,2.72550338539137,0.000907746114830315,"Up"
"ENSG00000128510",1.41375734998235e-05,2.72435569435519,0.0016801860367007,"Up"
"ENSG00000117479",8.63580274063699e-06,2.72308810706786,0.0013058520342693,"Up"
"ENSG00000148344",0.000217430636526223,2.71376462694774,0.00567468179044527,"Up"
"ENSG00000173276",3.93543740464952e-05,2.71307112392593,0.00250314840325226,"Up"
"ENSG00000187474",0.000239360876608432,2.711705801095,0.00593883074081564,"Up"
"ENSG00000173575",8.06581285288478e-06,2.71108047937236,0.00129100615784548,"Up"
"ENSG00000254180",0.000441016482065623,2.71100882809795,0.00819521153211814,"Up"
"ENSG00000153162",0.000101954197511944,2.71098480452028,0.00378137073984348,"Up"
"ENSG00000123146",9.18963379908199e-06,2.70308933172074,0.00134842559945196,"Up"
"ENSG00000197646",5.21923621685262e-05,2.69771627452279,0.00280183875933966,"Up"
"ENSG00000126562",5.19660283447735e-06,2.69347269264885,0.00108357374261223,"Up"
"ENSG00000170458",0.000500212581488744,2.69060229149856,0.00875327829214712,"Up"
"ENSG00000110876",8.77204083762173e-05,2.68822599729475,0.00354337652504095,"Up"
"ENSG00000272275",0.000239872636607148,2.68249143228773,0.00593883074081564,"Up"
"ENSG00000171223",7.21910057140593e-05,2.67976086843386,0.00325336567315356,"Up"
"ENSG00000067066",2.78217906039613e-05,2.67180855382406,0.00210351851173233,"Up"
"ENSG00000115594",0.000344430651359968,2.66886700411037,0.00709393307430821,"Up"
"ENSG00000138696",2.18774404920049e-05,2.66579394850277,0.0019451543874598,"Up"
"ENSG00000169908",6.36236035991149e-06,2.66385757278023,0.00119215135624564,"Up"
"ENSG00000173825",0.000281092641718501,2.65862922256181,0.00642341901506899,"Up"
"ENSG00000064932",6.79636302887102e-05,2.65779001931684,0.00318272234607343,"Up"
"ENSG00000106004",0.000234971763229384,2.65342409515849,0.00587696421440766,"Up"
"ENSG00000166145",2.10678298991142e-05,2.64990390559026,0.00194308907286943,"Up"
"ENSG00000118515",3.99915886566874e-06,2.64491882798521,0.00101406445195285,"Up"
"ENSG00000251201",2.67780246467353e-05,2.64300696597151,0.00205599182258596,"Up"
"ENSG00000136826",0.000285823068631651,2.63624477096213,0.00646332096635203,"Up"
"ENSG00000162383",0.000333444688181128,2.62105673273491,0.00699704007222453,"Up"
"ENSG00000135678",6.42662251775938e-05,2.59729661601449,0.00308992634597805,"Up"
"ENSG00000141682",6.76268496092826e-05,2.59550081458795,0.00318272234607343,"Up"
"ENSG00000113739",2.44557413361341e-05,2.59446854560105,0.00195952623907516,"Up"
"ENSG00000164251",2.39719580215105e-05,2.58969400612573,0.00195952623907516,"Up"
"ENSG00000108691",0.000359261449668111,2.588421376744,0.00727050942921196,"Up"
"ENSG00000164736",7.54668630662888e-05,2.58190151962823,0.00330522313455166,"Up"
"ENSG00000221963",0.000127802217996862,2.57914961159274,0.00424059319313207,"Up"
"ENSG00000179598",0.000582828685119997,2.57592807055741,0.00943239658786113,"Up"
"ENSG00000134470",0.000335170400807473,2.5747476979113,0.00701097198478906,"Up"
"ENSG00000100068",0.000482597494646145,2.56814789465637,0.00855715218599081,"Up"
"ENSG00000052795",0.000149654597939041,2.56567658859673,0.00455072321822949,"Up"
"ENSG00000184371",2.46842803460899e-06,2.56235447938326,0.000857843700659115,"Up"
"ENSG00000059804",9.16201301566571e-05,2.5589658102994,0.00359561307555047,"Up"
"ENSG00000056558",5.86432075518105e-05,2.54617622014589,0.00294838400607567,"Up"
"ENSG00000134109",0.000613016767175824,2.53283539466942,0.00965282125674555,"Up"
"ENSG00000155090",1.92250473561981e-05,2.53188721402874,0.00185257693879324,"Up"
"ENSG00000150630",6.11552514557914e-06,2.52385687067707,0.00119215135624564,"Up"
"ENSG00000115318",1.16179937948255e-05,2.52056792924665,0.00152411151709735,"Up"
"ENSG00000148154",3.34518439827044e-06,2.51362974619539,0.000936825506352062,"Up"
"ENSG00000204767",0.000101314493269015,2.51265289733903,0.00377954575737461,"Up"
"ENSG00000095777",0.000404723625873912,2.51221233609119,0.00779880379857618,"Up"
"ENSG00000102802",1.07295942270587e-05,2.50938815763517,0.00144586756492384,"Up"
"ENSG00000174640",0.000350763290520141,2.50810067861956,0.00715776133429148,"Up"
"ENSG00000028137",9.06180293028572e-05,2.4993481625968,0.00359176774866217,"Up"
"ENSG00000134107",1.74256690856052e-05,2.49572886924444,0.00182597358655389,"Up"
"ENSG00000120875",1.74845126092666e-05,2.49477548842364,0.00182597358655389,"Up"
"ENSG00000112541",1.15733464939957e-05,2.49204658082422,0.00152411151709735,"Up"
"ENSG00000158517",0.000466184207440536,2.48198654689019,0.00838750496384157,"Up"
"ENSG00000181016",0.000180973399982197,2.47969618622731,0.00512253608740526,"Up"
"ENSG00000134013",0.000108469570012237,2.47902458660203,0.00390573664850111,"Up"
"ENSG00000197140",0.000117262838381427,2.47718471079141,0.00409152818532287,"Up"
"ENSG00000170044",0.000430109663099274,2.47219283132638,0.00805297005324529,"Up"
"ENSG00000095951",6.36976254050118e-05,2.46971749164266,0.00307752746743385,"Up"
"ENSG00000074410",1.18945728664495e-05,2.46689124174038,0.00154630852710858,"Up"
"ENSG00000148200",4.61478710695977e-05,2.46336867962258,0.00266871996271879,"Up"
"ENSG00000144063",9.86404658553342e-05,2.45016861042347,0.00371476993940744,"Up"
"ENSG00000102554",3.35959738591158e-05,2.4460135025121,0.00226361444277287,"Up"
"ENSG00000271383",4.49431369597996e-05,2.43788687374349,0.00266529218353312,"Up"
"ENSG00000042832",4.65866202671112e-05,2.42508613258756,0.00267816093479231,"Up"
"ENSG00000113916",5.87398177701813e-06,2.41955732019134,0.00116357705020952,"Up"
"ENSG00000187605",2.57815644181551e-05,2.40967836646959,0.00201860478086654,"Up"
"ENSG00000224812",0.000198646645947117,2.40580170398111,0.00539852788675016,"Up"
"ENSG00000164463",6.26126241601736e-06,2.40407304591522,0.00119215135624564,"Up"
"ENSG00000139211",2.18345190987512e-05,2.39926821201917,0.0019451543874598,"Up"
"ENSG00000272822",0.000210013309054367,2.39917716376817,0.00559160435357253,"Up"
"ENSG00000117152",1.02943955452936e-05,2.39358809734955,0.00141576126323506,"Up"
"ENSG00000204592",5.06234947240623e-05,2.38680321510085,0.00279331701111128,"Up"
"ENSG00000137936",5.68790825198929e-05,2.3791113275914,0.00291850103082543,"Up"
"ENSG00000109667",4.82871905592515e-05,2.3727678641388,0.00271738908462561,"Up"
"ENSG00000142627",0.000159413662387024,2.37271842811654,0.00469004646188109,"Up"
"ENSG00000159208",1.28906905278971e-05,2.37237794866568,0.00158603533333611,"Up"
"ENSG00000134070",4.77000745553485e-05,2.36930547960906,0.00270742342941805,"Up"
"ENSG00000144596",0.000371328142369059,2.36797320246153,0.00739125894567853,"Up"
"ENSG00000177606",0.000191324650893798,2.36788223108259,0.00527114048616863,"Up"
"ENSG00000102786",5.43166447935548e-05,2.36761622944174,0.0028607382263133,"Up"
"ENSG00000125347",4.04417647050709e-06,2.36758043155491,0.00101406445195285,"Up"
"ENSG00000140563",0.000473351144848682,2.36578394284413,0.00848562246905659,"Up"
"ENSG00000026508",1.80670817792196e-05,2.364912942548,0.00182597358655389,"Up"
"ENSG00000146242",4.05985847721889e-05,2.36469413997701,0.00252516607373764,"Up"
"ENSG00000155265",0.00035736271129598,2.35651426441135,0.0072456478485794,"Up"
"ENSG00000131015",4.74240388293893e-05,2.35359396494475,0.00270727027426909,"Up"
"ENSG00000118946",0.000592335818959241,2.35347845462475,0.00951628567539627,"Up"
"ENSG00000122641",1.72032878238314e-05,2.35063876029609,0.00182597358655389,"Up"
"ENSG00000188766",0.000261982975495994,2.34013729010218,0.00622256686043182,"Up"
"ENSG00000166073",0.000277213021012583,2.3361140787246,0.00638126151849954,"Up"
"ENSG00000185215",0.000408815788017974,2.3350683427684,0.00786236111150296,"Up"
"ENSG00000115232",0.00033764307823736,2.33446211302777,0.00702989220704962,"Up"
"ENSG00000146477",0.00015194926166197,2.33256879000881,0.00456747029478296,"Up"
"ENSG00000258964",6.26401304846705e-05,2.32931683091424,0.00303383458379178,"Up"
"ENSG00000134802",5.04568802010112e-05,2.32909284468333,0.00279190039078723,"Up"
"ENSG00000168394",0.000247521142065423,2.32495066014633,0.00603835751622409,"Up"
"ENSG00000163435",8.23066950302143e-06,2.32447646795703,0.00129100615784548,"Up"
"ENSG00000112343",1.04347086896016e-05,2.32400263614399,0.00141576126323506,"Up"
